employee_id,department,designation,absenteeism_score,absenteeism_flag,overtime_hours,overtime_abuse_flag,salary_manipulation_score,salary_manipulation_flag,final_anomaly_score,risk_tier,explanation
E009,Finance,Junior Engineer,0.99,True,3,False,0.053564086963297,False,0.7230095170234839,HIGH,"Risk Tier: HIGH (Score: 0.72). Rules violated: 2/3. Details: salary_diff (-0) exceeded 1σ (0); salary_dev_pct (-5.5%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: -2.03, Z-dev: -1.56. Model Anomaly Score: 0.73"
E019,Operations,Senior Engineer,0.01,False,6,False,0.0316087878409744,False,0.6119561117822875,HIGH,"Risk Tier: HIGH (Score: 0.61). Rules violated: 1/3. Details: salary_dev_pct (4.7%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 2.66, Z-dev: 1.34. Model Anomaly Score: 0.71"
E036,Finance,Senior Engineer,0.0,False,10,False,0.0481137499448675,False,0.8387746670408602,CRITICAL,"Risk Tier: CRITICAL (Score: 0.84). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (4.9%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 2.67, Z-dev: 1.41. Model Anomaly Score: 1.00"
E044,HR,Senior Engineer,0.97,True,10,False,0.0211038366112936,False,0.7320511659045994,HIGH,"Risk Tier: HIGH (Score: 0.73). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (-6.9%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 1.84, Z-dev: -1.96. Model Anomaly Score: 0.71"
E046,Finance,Junior Engineer,0.03,False,7,False,0.0507078008062858,False,0.6156933799861957,HIGH,"Risk Tier: HIGH (Score: 0.62). Rules violated: 2/3. Details: salary_diff (-0) exceeded 1σ (0); salary_dev_pct (5.7%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: -1.71, Z-dev: 1.64. Model Anomaly Score: 0.43"
E049,Sales,Senior Engineer,0.98,True,7,False,0.0296422626116588,False,0.6373110887163679,HIGH,"Risk Tier: HIGH (Score: 0.64). Rules violated: 1/3. Details: salary_dev_pct (4.5%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 2.65, Z-dev: 1.30. Model Anomaly Score: 0.80"
E053,Sales,Senior Engineer,0.99,True,3,False,0.0553321792230934,False,0.6097867314078551,HIGH,"Risk Tier: HIGH (Score: 0.61). Rules violated: 1/3. Details: salary_diff (-1) exceeded 1σ (0). Robust Z-Scores: Z-base: 2.52, Z-dev: 0.78. Model Anomaly Score: 0.87"
E055,HR,Senior Engineer,0.0,False,4,False,0.0546914836672813,False,0.6426906909163231,HIGH,"Risk Tier: HIGH (Score: 0.64). Rules violated: 2/3. Details: salary_diff (-0) exceeded 1σ (0); salary_dev_pct (-5.1%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 1.97, Z-dev: -1.43. Model Anomaly Score: 0.51"
E058,HR,Manager,1.0,True,1,False,0.0409619722669908,False,0.6301562629136908,HIGH,"Risk Tier: HIGH (Score: 0.63). Rules violated: 2/3. Details: salary_diff (-0) exceeded 1σ (0); salary_dev_pct (6.9%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 1.02, Z-dev: 1.98. Model Anomaly Score: 0.56"
E071,Operations,Senior Engineer,0.01,False,1,False,0.0476623888590817,False,0.8194994965519318,CRITICAL,"Risk Tier: CRITICAL (Score: 0.82). Rules violated: 2/3. Details: salary_diff (-0) exceeded 1σ (0); salary_dev_pct (6.0%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 2.75, Z-dev: 1.72. Model Anomaly Score: 0.84"
E078,HR,Analyst,0.98,True,4,False,-0.0101436090349945,True,0.6304175771348701,HIGH,"Risk Tier: HIGH (Score: 0.63). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (-7.9%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: -1.31, Z-dev: -2.23. Model Anomaly Score: 0.44"
E081,Operations,Analyst,0.98,True,0,False,0.0149629549515323,False,0.655625215586081,HIGH,"Risk Tier: HIGH (Score: 0.66). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (-6.3%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: -1.25, Z-dev: -1.79. Model Anomaly Score: 0.64"
E094,Engineering,Senior Engineer,0.0,False,5,False,0.0288848937061071,False,0.6890474041925276,HIGH,"Risk Tier: HIGH (Score: 0.69). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (-6.1%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 1.90, Z-dev: -1.71. Model Anomaly Score: 0.61"
E098,HR,Manager,1.0,True,10,False,0.0338814480454865,False,0.6224050710064065,HIGH,"Risk Tier: HIGH (Score: 0.62). Rules violated: 2/3. Details: salary_diff (-1) exceeded 1σ (0); salary_dev_pct (7.1%) exceeded 1σ (4.3%). Robust Z-Scores: Z-base: 1.03, Z-dev: 2.03. Model Anomaly Score: 0.53"
