employee_id,department,designation,absenteeism_score,absenteeism_flag,overtime_hours,overtime_abuse_flag,salary_manipulation_score,salary_manipulation_flag,final_anomaly_score,risk_tier
EMP0001,Engineering,Engineering Manager,0.99,True,3,False,0.0257100910391862,False,0.3813026853580518,MEDIUM
EMP0002,Legal,Legal Manager,1.0,True,4,False,0.02221913000449388,False,0.410113465160356,MEDIUM
EMP0003,Operations,Ops Lead,0.0,False,3,False,0.09446424610262472,False,0.052723178866383495,LOW
EMP0004,Sales,Regional Manager,0.0,False,0,False,0.08432086717612042,False,0.26714507393026216,LOW
EMP0005,Sales,Sales Executive,1.0,True,4,False,-0.0052567954634782366,True,0.39873198459470927,MEDIUM
EMP0006,Marketing,Marketing Manager,0.0,False,3,False,0.028720283098011612,False,0.49809552772917587,MEDIUM
EMP0007,Engineering,Engineering Manager,0.0,False,1,False,-0.042821267034740096,True,0.5274268627790835,MEDIUM
EMP0008,Operations,Ops Lead,0.0,False,4,False,0.11427239293567759,False,0.033656628293859424,LOW
EMP0009,Finance,Finance Manager,1.0,True,2,False,0.1039452300619425,False,0.17000417894848535,LOW
EMP0010,Engineering,Tech Lead,1.0,True,3,False,0.11777481991984362,False,0.1428377258720795,LOW
EMP0011,Sales,Sales Executive,1.0,True,2,False,0.034334099998764356,False,0.34306840981102965,MEDIUM
EMP0012,Marketing,Marketing Manager,1.0,True,0,False,0.10280583809051658,False,0.17619293186033466,LOW
EMP0013,Legal,Legal Associate,0.0,False,14,True,0.09628572423303977,False,0.3377153070427746,MEDIUM
EMP0014,Legal,Legal Associate,0.0,False,15,True,0.08835307892646704,False,0.360773021480083,MEDIUM
EMP0015,Legal,Senior Counsel,1.0,True,11,False,-0.025744693654854656,True,0.5417780798833077,MEDIUM
EMP0016,Legal,Legal Manager,0.0,False,2,False,-0.046525843911013554,True,0.7660367486919444,HIGH
EMP0017,Sales,Sales Lead,0.0,False,4,False,0.08263921833222565,False,0.16077986614031145,LOW
EMP0018,Engineering,Senior Engineer,1.0,True,10,False,0.10265640434185291,False,0.16931425755169188,LOW
EMP0019,Legal,Legal Associate,0.0,False,5,False,0.08185005005743257,False,0.32536492481482726,MEDIUM
EMP0020,Sales,Sales Executive,1.0,True,12,True,0.06009529569327404,False,0.48538645054244917,MEDIUM
